pinyin_id,title,pinyin
865,㡠,zheng
866,㡡,chu
867,㡢,man
868,㡣,long
869,㡥,yin
870,㡧,zheng
871,㡨,qian
872,㡩,luan
873,㡪,nie
874,㡫,yi
875,㡭,ji
876,㡮,ji
877,㡯,zhai
878,㡰,yu
879,㡱,jiu
880,㡲,huan
881,㡳,di
882,㡵,ling
883,㡶,zhi
884,㡷,ben
885,㡸,zha
886,㡹,ci
887,㡺,dan
888,㡻,liao
889,㡼,yi
890,㡽,zhao
891,㡾,xian
892,㡿,chi
893,㢀,ci
894,㢁,chi
895,㢂,yan
896,㢃,lang
897,㢄,dou
898,㢅,long
899,㢆,chan
900,㢈,tui
901,㢉,cha
902,㢊,ai
903,㢋,chi
904,㢍,ying
905,㢎,cha
906,㢏,tou
907,㢑,tui
908,㢒,cha
909,㢓,yao
910,㢔,zong
911,㢗,qiao
912,㢘,lian
913,㢙,qin
914,㢚,lu
915,㢛,yan
916,㢞,yi
917,㢟,chan
918,㢠,jiong
919,㢡,jiang
920,㢣,jing
921,㢥,dong
922,㢦,ge
923,㢧,juan
924,㢨,han
925,㢩,di
926,㢬,hong
927,㢮,chi
928,㢯,min
929,㢰,bi
930,㢲,xun
931,㢳,lu
932,㢵,she
933,㢶,bi
934,㢸,bi
935,㢺,xian
936,㢻,wei
937,㢼,bie
938,㢽,er
939,㢾,juan
940,㣀,zhen
941,㣁,bei
942,㣂,yi
943,㣃,yu
944,㣄,qu
945,㣅,zan
946,㣆,mi
947,㣇,ni
948,㣈,si
949,㣌,shan
950,㣍,tai
951,㣎,mu
952,㣏,jing
953,㣐,bian
954,㣑,rong
955,㣒,ceng
956,㣓,can
957,㣙,di
958,㣚,tong
959,㣛,ta
960,㣜,xing
961,㣝,song
962,㣞,duo
963,㣟,xi
964,㣠,tong
965,㣢,ti
966,㣣,shan
967,㣤,jian
968,㣥,zhi
969,㣧,yin
970,㣪,huan
971,㣫,zhong
972,㣬,qi
973,㣯,xie
974,㣰,xie
975,㣱,ze
976,㣲,wei
977,㣵,ta
978,㣶,zhan
979,㣷,ning
980,㣻,yi
981,㣼,ren
982,㣽,shu
983,㣾,cha
984,㣿,zhuo
985,㤁,mian
986,㤂,ji
987,㤃,fang
988,㤄,pei
989,㤅,ai
990,㤆,fan
991,㤇,ao
992,㤈,qin
993,㤉,qia
994,㤊,xiao
995,㤍,qiao
996,㤏,tong
997,㤑,you
998,㤓,ben
999,㤔,fu
1000,㤕,chu
1001,㤖,zhu
1002,㤘,chu
1003,㤚,hang
1004,㤛,nin
1005,㤜,jue
1006,㤞,cha
1007,㤟,kong
1008,㤠,lie
1009,㤡,li
1010,㤢,xu
1011,㤤,yu
1012,㤥,hai
1013,㤦,li
1014,㤧,hou
1015,㤨,gong
1016,㤩,ke
1017,㤪,yuan
1018,㤫,de
1019,㤬,hui
1020,㤮,kuang
1021,㤯,jiong
1022,㤰,zan
1023,㤱,fu
1024,㤲,qie
1025,㤳,bei
1026,㤴,xi
1027,㤵,ci
1028,㤶,pang
1029,㤸,xi
1030,㤹,qiu
1031,㤺,huang
1032,㤻,lun
1033,㤽,chou
1034,㤾,san
1035,㥀,de
1036,㥁,de
1037,㥂,te
1038,㥃,men
1039,㥄,ling
1040,㥅,shou
1041,㥆,dian
1042,㥇,can
1043,㥈,die
1044,㥉,che
1045,㥊,peng
1046,㥋,yi
1047,㥌,ju
1048,㥍,ji
1049,㥎,lai
1050,㥏,tian
1051,㥐,yuan
1052,㥒,cai
1053,㥓,qi
1054,㥔,yu
1055,㥕,lian
1056,㥚,yu
1057,㥛,ji
1058,㥜,wei
1059,㥝,mi
1060,㥞,cui
1061,㥟,xie
1062,㥠,xu
1063,㥡,xi
1064,㥢,qiu
1065,㥣,hui
1066,㥥,yu
1067,㥦,qie
1068,㥧,shun
1069,㥨,chui
1070,㥩,duo
1071,㥪,lou
1072,㥫,dun
1073,㥬,pang
1074,㥭,tai
1075,㥮,zhou
1076,㥯,yin
1077,㥱,fei
1078,㥲,shen
1079,㥳,yuan
1080,㥴,yi
1081,㥵,hun
1082,㥶,se
1083,㥷,ye
1084,㥸,min
1085,㥹,fen
1086,㥺,he
